location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE,Sverige,2026,30,2026-07-26,10,available,delayed_release,2026-09-03T14:52:22Z,00,2026W30,2026-09-03T14:52:22Z
SE,Sverige,2026,31,2026-08-02,23,available,delayed_release,2026-09-03T14:52:22Z,00,2026W31,2026-09-03T14:52:22Z
SE,Sverige,2026,32,2026-08-09,23,available,delayed_release,2026-09-03T14:52:22Z,00,2026W32,2026-09-03T14:52:22Z
SE,Sverige,2026,33,2026-08-16,15,available,delayed_release,2026-09-03T14:52:22Z,00,2026W33,2026-09-03T14:52:22Z
SE,Sverige,2026,34,2026-08-23,19,available,delayed_release,2026-09-03T14:52:22Z,00,2026W34,2026-09-03T14:52:22Z
SE,Sverige,2026,35,2026-08-30,29,available,on_time,2026-09-03T14:52:22Z,00,2026W35,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,30,2026-07-26,0,available,delayed_release,2026-09-03T14:52:22Z,12,2026W30,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,31,2026-08-02,1,available,delayed_release,2026-09-03T14:52:22Z,12,2026W31,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,32,2026-08-09,1,available,delayed_release,2026-09-03T14:52:22Z,12,2026W32,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,33,2026-08-16,3,available,delayed_release,2026-09-03T14:52:22Z,12,2026W33,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,34,2026-08-23,2,available,delayed_release,2026-09-03T14:52:22Z,12,2026W34,2026-09-03T14:52:22Z
SE-M,Region Skåne,2026,35,2026-08-30,0,available,on_time,2026-09-03T14:52:22Z,12,2026W35,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,30,2026-07-26,3,available,delayed_release,2026-09-03T14:52:22Z,14,2026W30,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,31,2026-08-02,2,available,delayed_release,2026-09-03T14:52:22Z,14,2026W31,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,32,2026-08-09,2,available,delayed_release,2026-09-03T14:52:22Z,14,2026W32,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,33,2026-08-16,0,available,delayed_release,2026-09-03T14:52:22Z,14,2026W33,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,34,2026-08-23,3,available,delayed_release,2026-09-03T14:52:22Z,14,2026W34,2026-09-03T14:52:22Z
SE-O,Västra Götalandsregionen,2026,35,2026-08-30,3,available,on_time,2026-09-03T14:52:22Z,14,2026W35,2026-09-03T14:52:22Z
